city,country_hint,expected_url_pattern
Berlin,Germany,berlin.de
Paris,France,paris.fr
Klagenfurt,Austria,klagenfurt.at
Madrid,Spain,madrid.es
Valencia,Spain,valencia.es
Sofia,Bulgaria,sofia.bg
Riga,Latvia,riga.lv
Porto,Portugal,cm-porto.pt
Vilnius,Lithuania,vilnius.lt
Copenhagen,Denmark,kk.dk
Stockholm,Sweden,stockholm
Dublin,Ireland,dublincity.ie
Münster,Germany,stadt-muenster.de
Gävle,Sweden,gavle.se
Ioannina,Greece,ioannina.gr
Leipzig,Germany,leipzig.de
Florence,Italy,firenze.it
Warsaw,Poland,um.warszawa.pl
Lisbon,Portugal,lisboa.pt
