city,official_url,status,notes
Cluj,https://reismonkey.nl/blogs/news/cluj-napoca-roemenie,NOT_FOUND,Best score below threshold: 0.60
Klagenfurt,https://www.klagenfurt.at/,OK,Source: Wikidata
Stockholm,https://start.stockholm/,OK,Source: Wikidata
Valencia,https://www.alcaldiadevalencia.gob.ve/,OK,Source: Wikidata
Madrid,https://www.madrid.com/,NOT_FOUND,Best score below threshold: 0.55
Mannheim,https://www.mannheim.de/de,OK,Source: Wikidata
Sonderborg,https://www.xnxx.com/search/bokep,NOT_FOUND,Best score below threshold: 0.35
Valladolid,https://www.valladolid.es/en,OK,"Source: Search, Score=1.00"
Vitoria,https://www.vitoria.com/,NOT_FOUND,Best score below threshold: 0.55
Zaragoza,https://www.zaragoza.es/sede/,OK,Source: Wikidata
Helsinki,https://www.hel.fi/sv,OK,Source: Wikidata
Malmo,https://malmo.se/,OK,"Source: Search, Score=1.00"
Helsinborg,,NOT_FOUND,No candidate passed validation.
Seville,https://sedo.com/search/details/?partnerid=324561&language=nl&domain=seville.eu&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage,NOT_FOUND,Best score below threshold: 0.00
Barcelona,https://www.barcelona.cat/ca,OK,Source: Wikidata
Eilat,https://eilat.de/en-gb,MULTIPLE,"Source: Search, Multiple good candidates, best score=0.80, second=0.70"
Espoo,https://www.espoo.fi/fi,OK,Source: Wikidata
Florence,https://www.comune.firenze.it//,OK,Source: Wikidata
Guimarães,https://theorangebackpack.nl/portugal/bezienswaardigheden-guimaraes/,NOT_FOUND,Best score below threshold: 0.60
Heidelberg,https://www.heidelberg.de/hd/HD.html,OK,Source: Wikidata
Ioannina,https://www.grieksegids.nl/epirus/ioannina-stad.php,OK,"Source: Search, Score=0.95"
Izmir,https://www.izmir.org/,NOT_FOUND,Best score below threshold: 0.55
Kalamata,https://www.kalamata.gr/el/,OK,Source: Wikidata
Kozani,https://cityofkozani.gov.gr/,OK,Source: Wikidata
Lappeenranta,https://lappeenranta.fi/fi,OK,Source: Wikidata
Lathi,https://lathi.de,OK,"Source: Search, Score=0.80"
Leuven,https://www.leuven.be/,OK,"Source: Search, Score=1.00"
Liepaja,https://www.liepaja.com/,NOT_FOUND,Best score below threshold: 0.55
Limassol,https://en.wikipedia.org/wiki/Limassol,NOT_FOUND,Best score below threshold: 0.00
Lisbon,https://www.lisbon.org/,NOT_FOUND,Best score below threshold: 0.55
Lyon,https://www.lyon.fr/,OK,Source: Wikidata
Parma,https://www.comune.parma.it/it,OK,Source: Wikidata
Pecs,https://www.pecs.de/,OK,"Source: Search, Score=0.80"
Tampere,https://www.tampere.fi/,OK,Source: Wikidata
Thessaloniki,https://thessaloniki.gr/,OK,Source: Wikidata
Turku,https://www.turku.fi/,OK,Source: Wikidata
Antwerp,https://www.antwerpen.be/,OK,Source: Wikidata
Gothenburg,https://goteborg.se/,OK,Source: Wikidata
Kranj,https://www.kranj.si/,OK,Source: Wikidata
Prato,https://www.comune.prato.it/,OK,Source: Wikidata
Milan,https://www.milan118.com:6001/,OK,"Source: Search, Score=1.00"
Porto,https://www.cm-porto.pt/,OK,Source: Wikidata
Ljubljana,https://www.ljubljana.si/,OK,Source: Wikidata
Aachen,https://www.aachen.de/,OK,Source: Wikidata
Bucharest,https://www.pmb.ro/,OK,Source: Wikidata
The Hague,https://www.denhaag.nl/nl/,OK,Source: Wikidata
Bergamo,https://www.comune.bergamo.it/,OK,Source: Wikidata
Trikala,https://trikalacity.gr/,OK,Source: Wikidata
Dublin,https://www.dublincity.ie/,OK,Source: Wikidata
Gävle,https://www.xn--gvle-loa.com/,NOT_FOUND,Best score below threshold: 0.35
Umea,https://www.umea.com/,NOT_FOUND,Best score below threshold: 0.55
Miskolc,https://www.miskolc.hu/,OK,Source: Wikidata
Turin,https://www.comune.torino.it/,OK,Source: Wikidata
Bologna,https://www.comune.bologna.it/,OK,Source: Wikidata
Münster,https://www.stadt-muenster.de/startseite,OK,Source: Wikidata
Suceava,https://www.suceava.com/,NOT_FOUND,Best score below threshold: 0.55
Aarhus,https://aarhus.dk/,OK,Source: Wikidata
Athens,https://www.athens.de/,OK,"Source: Search, Score=0.80"
Bordeaux Metropole,https://frankrijk.nl/reistips-top15-zien-en-doen-bordeaux-stedentrip/,OK,"Source: Search, Score=0.95"
Bristol,https://www.bristol.gov.uk/,OK,Source: Wikidata
Budapest,https://www.budapesttips.nl/bezienswaardigheden-boedapest/,OK,"Source: Search, Score=0.80"
Copenhagen,https://www.copenhagen.com/,NOT_FOUND,Best score below threshold: 0.55
Cork,https://www.corkcity.ie/en/,OK,Source: Wikidata
Dresden,https://www.dresden.de/index_de.php,OK,Source: Wikidata
Dunkerque,,NOT_FOUND,No candidate passed validation.
Gabrovo,https://support.google.com/youtube/?hl=en,NOT_FOUND,Best score below threshold: 0.35
Glasgow,https://www.glasgow.de/,OK,"Source: Search, Score=0.80"
Grenoble Alpes,https://www.grenoblealpes.com/,NOT_FOUND,Best score below threshold: 0.55
Istanbul,http://www.istanbul.gov.tr/,OK,Source: Wikidata
Kosice,https://www.kosice.org/,NOT_FOUND,Best score below threshold: 0.55
Krakow,https://krakow.com/,NOT_FOUND,Best score below threshold: 0.55
Leipzig,https://www.leipzig.de/,OK,Source: Wikidata
Liberec,https://open.spotify.com/playlist/7opHRsTKnI3Gn5HdEkQ1mK,NOT_FOUND,Best score below threshold: 0.35
Lund,https://lund.eu//,OK,"Source: Search, Score=0.70"
Nantes Metropole,,NOT_FOUND,No candidate passed validation.
Oslo,https://www.zhihu.com/tardis/zm/art/684754114,NOT_FOUND,Best score below threshold: 0.35
Padova,https://www.comune.padova.it/,OK,Source: Wikidata
Paris,https://www.paris.com/,NOT_FOUND,Best score below threshold: 0.55
Reykjavik,https://www.reykjavik.de/,MULTIPLE,"Source: Search, Multiple good candidates, best score=0.80, second=0.70"
Riga,https://www.riga.lv/lv,OK,Source: Wikidata
Rzeszow,https://xrzeszow.pl/,OK,"Source: Search, Score=0.80"
Sofia,https://sofia-airport.eu/en/,OK,"Source: Search, Score=1.00"
Stavanger,,NOT_FOUND,No candidate passed validation.
Taurage,https://www.taurage.com/,NOT_FOUND,Best score below threshold: 0.55
Trondheim,https://www.trondheim.kommune.no/,OK,Source: Wikidata
Velenje,https://www.velenje.si/,OK,Source: Wikidata
Vilnius,https://vilnius.com/,NOT_FOUND,Best score below threshold: 0.55
